player_id,game_id,date,season,player_name,opponent_id,min,pts,reb,ast,fga,fgm,trend_pts,trend_reb,trend_ast,min_l10,fga_per_min_l10,proj_volume,pts_std_l10,pts_mean_l10,cv_l10,opp_avg_pts_allowed_l10,opp_avg_reb_allowed_l10,opp_avg_ast_allowed_l10
1628369,0022400061,2024-10-22,2024-25,Jayson Tatum,4,30.3,37,4,10,18,14,-0.1989833509182528,-0.37118071012720943,0.12964525899159227,41.5,0.49854086880745985,20.689446055509585,7.775317071062485,25.7,0.30254152027480485,112.4,39.2,28.1
1628384,0022400061,2024-10-22,2024-25,OG Anunoby,3,34.166666666666664,4,5,3,7,1,-1.4881514057743483,-0.83878052593625,-0.13068913626974188,21.4,0.41710681696188945,8.926085882984433,10.13026269265618,9.8,1.0337002747608346,104.5,41.5,22.6
1628401,0022400061,2024-10-22,2024-25,Derrick White,4,26.633333333333333,24,3,4,13,8,-0.5694334904239471,0.20525931799302513,-0.5464126163039278,37.3,0.3328781302850622,12.416354259632818,4.325634186002219,15.4,0.28088533675339084,112.4,39.2,28.1
1628404,0022400061,2024-10-22,2024-25,Josh Hart,3,24.5,12,4,3,6,4,-0.6581974420942698,-0.608249325063617,-0.19554253184849754,41.1,0.25868573804675166,10.631983833721494,7.441624673267124,12.6,0.5906051327989781,104.5,41.5,22.6
1628436,0022400061,2024-10-22,2024-25,Luke Kornet,4,19.316666666666666,4,3,1,3,2,-0.4719992070462251,-0.2118563976822124,0.04822374907494503,6.2,0.1697673671357882,1.052557676241887,3.5962943891363204,2.4,1.4984559954734669,112.4,39.2,28.1
1628969,0022400061,2024-10-22,2024-25,Mikal Bridges,3,34.61666666666667,16,0,2,13,7,-0.5692626385272144,-0.31885184127929356,-0.04848053589791223,26.243333333333332,0.3314140846821619,8.697410295675535,3.8137179293235977,9.9,0.38522403326500987,104.5,41.5,22.6
1628973,0022400061,2024-10-22,2024-25,Jalen Brunson,3,24.5,22,1,2,14,9,-1.5534446516686802,-0.2741103111163861,-0.01881232927046078,38.7,0.6598875939523705,25.53764988595674,10.936178491593864,33.6,0.32548150272600784,104.5,41.5,22.6
1628978,0022400062,2024-10-22,2024-25,Donte DiVincenzo,5,31.55,10,3,3,11,3,0.9524391761348229,0.07582618099913233,-0.09721641616618769,37.1,0.4393151523542144,16.298592152341357,11.883228143526946,19.9,0.5971471428908013,114.5,44.5,28.7
1629001,0022400072,2024-10-23,2024-25,De'Anthony Melton,7,19.1,11,2,4,11,4,-0.25533177771948845,-0.12617483757465714,-0.12617483757465714,4.281666666666667,0.5136835766972753,2.199421847558834,2.162817093001072,1.3,1.663705456154671,110.4,44.8,26.4
1629014,0022400072,2024-10-23,2024-25,Anfernee Simons,8,32.61666666666667,15,2,3,12,5,-0.4035666804887913,-0.07957914475526776,-0.2699741338795251,7.083333333333333,0.31779352962559065,2.2510375015146002,4.3969686527576854,2.0,2.1984843263788427,106.5,40.5,26.4
